community,sv,count,fract
wgs__ERR2213661,sv-11515:wgs__ERR2213661,1005,0.009197569279203427
wgs__ERR2213661,sv-11559:wgs__ERR2213661,1000,0.009151810228063112
wgs__ERR2213661,sv-11889:wgs__ERR2213661,950,0.008694219716659955
wgs__ERR2213661,sv-12013:wgs__ERR2213661,931,0.008520335322326756
wgs__ERR2213661,sv-12206:wgs__ERR2213661,900,0.0082366292052568
wgs__ERR2213661,sv-12328:wgs__ERR2213661,881,0.008062744810923601
wgs__ERR2213661,sv-13037:wgs__ERR2213661,766,0.007010286634696343
wgs__ERR2213661,sv-13321:wgs__ERR2213661,719,0.006580151553977376
wgs__ERR2213661,sv-13357:wgs__ERR2213661,713,0.006525240692608998
wgs__ERR2213661,sv-13757:wgs__ERR2213661,646,0.0059120694073287695
wgs__ERR2213661,sv-14159:wgs__ERR2213661,577,0.005280594501592415
wgs__ERR2213661,sv-14273:wgs__ERR2213661,557,0.005097558297031153
wgs__ERR2213661,sv-14893:wgs__ERR2213661,457,0.004182377274224842
wgs__ERR2213661,sv-15458:wgs__ERR2213661,368,0.003367866163927225
wgs__ERR2213661,sv-15540:wgs__ERR2213661,356,0.0032580444411904673
wgs__ERR2213661,sv-15854:wgs__ERR2213661,305,0.0027913021195592486
wgs__ERR2213661,sv-15902:wgs__ERR2213661,298,0.002727239447962807
wgs__ERR2213661,sv-17075:wgs__ERR2213661,156,0.0014276823955778452
wgs__ERR2213661,sv-17414:wgs__ERR2213661,117,0.001070761796683384
wgs__ERR2213661,sv-17680:wgs__ERR2213661,93,0.0008511183512098693
wgs__ERR2213661,sv-17681:wgs__ERR2213661,93,0.0008511183512098693
wgs__ERR2213661,sv-17824:wgs__ERR2213661,80,0.0007321448182450489
wgs__ERR2213662,sv-77:wgs__SRR5930506,1824,0.014752984567601669
wgs__ERR2213662,sv-94:wgs__SRR5930506,3852,0.031155973988158787
wgs__ERR2213662,sv-175:wgs__ERR2235255,2183,0.017656669578439938
wgs__ERR2213662,sv-427:wgs__ERR2213661,5106,0.041298650878384933
wgs__ERR2213662,sv-537:wgs__ERR2213660,4681,0.03786114076806108
wgs__ERR2213662,sv-1479:wgs__ERR2213662,6617,0.053520010352971624
wgs__ERR2213662,sv-1720:wgs__ERR2213662,4958,0.04010158853408392
wgs__ERR2213662,sv-2410:wgs__ERR2235300,617,0.004990455854281924
wgs__ERR2213662,sv-2880:wgs__ERR2213662,3906,0.031592739978647
wgs__ERR2213662,sv-3273:wgs__ERR2213662,3541,0.02864052541331004
wgs__ERR2213662,sv-3554:wgs__ERR2213662,3307,0.02674787278786114
wgs__ERR2213662,sv-3689:wgs__ERR2213662,3214,0.02599566469313145
